crop	disease	candidate_rows	kept_rows
Eastern White Pine	Stem Rot	15	15
Crabapple And Apple	Japanese Apple Rust	15	15
Phlox	Downy Mildew	15	15
Highbush Blueberry	Phomopsis Cankers And Twig Blights	15	15
Japanese Maple	Phomopsis Cankers And Twig Blights	15	15
Violet	Rust	15	15
Cucumber	Bacterial Wilt	15	15
Sweet Potato	Fusarium Lateritium Nees	15	15
Strawberry	Phomopsis Leaf Blight And Fruit Rot	14	14
Brazilian Gloxinia	Tomato Spotted Wilt Virus	14	14
Soybean	Taproot Decline On Soybean	14	14
Spindletree	Powdery Mildew	14	14
Potato	Bacterial Soft Rot	14	14
Peach	Botryosphaeria Canker, White Rot	14	14
Garden Onion	Onion Yellows Phytoplasma	14	14
Garden Onion	Iris Yellow Spot Virus	14	14
Eggplant	Diaporthe Vexans Gratz	14	14
Squash	Gummy Stem Blight	14	14
Oak	Oak Leaf Blister	14	14
Corn	Common Corn Rust	14	14
Willow	Marssonina Leaf Spots	14	14
Burley Tobacco	Blue Mold	14	14
Plum/Cherry	Phloeosporella Fungus	14	14
Burley Tobacco	Tomato Spotted Wilt Virus	14	14
Rice	Bacterial Panicle Blight	14	14
Hydrangea	Gray Molds	14	14
Oriental Poppy	Anthracnose	14	14
Oak	Nectria Canker	14	14
Microbiota	Phomopsis Cankers And Twig Blights	14	14
Northern White Cedar	Arborvitae Needle Blight	14	14
Cucumber	Powdery Mildew	14	14
Mallow	Hollyhock Rust	14	14
Cultivated Garlic	White Rot	14	14
Privet	Thedgonia Ligustrina	14	14
Squash	Southern Blight	14	14
Chinese Cabbage	Rhizoctonia Damping-Off, Blight And Rot	14	14
Melon	Bacterial Wilt	13	13
Rhododendrons And Azaleas	Leaf And Flower Gall	13	13
Alfalfa	Downy Mildew	13	13
Bermudagrass	Rust	13	13
Common Bean	Halo Blight	13	13
Tomato	Anthracnose	13	13
Soybean	Soybean Vein Necrosis Virus	13	13
St. Augustinegrass	Sugarcane Mosaic Virus	13	13
Douglas-Fir	Swiss Needle Cast	13	13
Corn	Fusarium Graminearum Schwabe	13	13
Peony	Anthracnose	13	13
Creeping Bentgrass	Anthracnose	13	13
Creeping Bentgrass	Dollar Spot	13	13
Arborvitae	Seiridium Cankers	13	13
Oak	Leaf Spot	13	13
Rice	Rice Blast Disease	13	13
Cultivated Garlic	Alternaria Embellisia Togashi	13	13
Hickory	Ascochyta Fungi	13	13
Barley	Cochliobolus Leaf Spot	13	13
Norway Maple	Cristulariella Leaf Spot	13	13
